Raw RLU																																
																																
	A1	A2	A4	A5	B1	B2	B4	B5	C1	C2	C4	C5	D1	D2	D4	D5	E1	E2	E4	E5	F1	F2	F4	F5	G1	G2	G4	G5	H1	H2	H4	H5
Cycle	5X (rep.1)	5X (rep.2)	5X (rep.3)	5X (rep.4)	2X (rep.1)	2X (rep.2)	2X (rep.3)	2X (rep.4)	1.5X (rep.1)	1.5X (rep.2)	1.5X (rep.3)	1.5X (rep.4)	1X (rep.1)	1X (rep.2)	1X (rep.3)	1X (rep.4)	2/3X (rep.1)	2/3X (rep.2)	2/3X (rep.3)	2/3X (rep.4)	1/2X (rep.1)	1/2X (rep.2)	1/2X (rep.3)	1/2X (rep.4)	1/5X (rep.1)	1/5X (rep.2)	1/5X (rep.3)	1/5X (rep.4)	No cell ctrl (rep.1)	No cell ctrl (rep.2)	No cell ctrl (rep.3)	No cell ctrl (rep.4)
1	0.0663	0.0471	0.0298	0.0259	0.0154	0.0164	0.0164	0.0102	0.0082	0.0088	0.0047	0.0035	0.0097	0.0048	0.0044	0.0044	0.0068	0.0047	0.0013	0.0005	0.0024	0.0181	0.0017	0.0037	0.0018	0.0037	0.0003	0.0013	0.0042	0.0004	-0.0002	0.0040
2	0.0758	0.0562	0.0333	0.0315	0.0175	0.0190	0.0193	0.0143	0.0113	0.0092	0.0065	0.0051	0.0096	0.0058	0.0050	0.0053	0.0068	0.0059	0.0022	0.0029	0.0021	0.0281	0.0031	0.0041	0.0041	0.0028	0.0039	0.0030	0.0071	0.0017	0.0011	0.0072
3	0.0931	0.0693	0.0414	0.0387	0.0216	0.0232	0.0244	0.0187	0.0140	0.0116	0.0078	0.0071	0.0113	0.0083	0.0060	0.0057	0.0093	0.0076	0.0028	0.0033	0.0022	0.0394	0.0051	0.0060	0.0057	0.0042	0.0066	0.0051	0.0105	0.0023	0.0022	0.0113
4	0.1223	0.0901	0.0552	0.0515	0.0284	0.0306	0.0334	0.0247	0.0185	0.0156	0.0095	0.0092	0.0163	0.0098	0.0079	0.0095	0.0124	0.0100	0.0033	0.0040	0.0023	0.0525	0.0052	0.0074	0.0059	0.0050	0.0077	0.0065	0.0134	0.0024	0.0025	0.0150
5	0.1776	0.1320	0.0783	0.0738	0.0411	0.0444	0.0455	0.0342	0.0266	0.0218	0.0151	0.0124	0.0221	0.0144	0.0116	0.0117	0.0165	0.0140	0.0052	0.0067	0.0047	0.0686	0.0081	0.0103	0.0103	0.0070	0.0103	0.0079	0.0177	0.0042	0.0031	0.0183
6	0.2684	0.1996	0.1202	0.1131	0.0607	0.0658	0.0623	0.0501	0.0378	0.0319	0.0218	0.0191	0.0339	0.0200	0.0148	0.0164	0.0194	0.0191	0.0056	0.0088	0.0046	0.0844	0.0107	0.0124	0.0106	0.0073	0.0108	0.0079	0.0186	0.0036	0.0031	0.0187
7	0.4301	0.3148	0.1937	0.1844	0.0976	0.1085	0.0943	0.0775	0.0588	0.0522	0.0358	0.0294	0.0526	0.0331	0.0220	0.0239	0.0295	0.0274	0.0060	0.0151	0.0063	0.1001	0.0165	0.0153	0.0127	0.0100	0.0107	0.0090	0.0180	0.0037	0.0037	0.0197
8	0.6073	0.4879	0.3183	0.3090	0.1660	0.1817	0.1483	0.1273	0.0970	0.0902	0.0628	0.0488	0.0867	0.0526	0.0350	0.0387	0.0452	0.0447	0.0096	0.0275	0.0105	0.1206	0.0260	0.0225	0.0196	0.0128	0.0131	0.0101	0.0192	0.0042	0.0032	0.0210
9	0.7842	0.6565	0.5072	0.5009	0.2775	0.3033	0.2427	0.2114	0.1652	0.1560	0.1097	0.0864	0.1476	0.0902	0.0598	0.0670	0.0744	0.0748	0.0166	0.0488	0.0153	0.1439	0.0453	0.0375	0.0282	0.0208	0.0163	0.0131	0.0222	0.0054	0.0042	0.0222
